iter	Passed	Remaining
673	76476	263924
674	76603	263855
675	76723	263764
676	76816	263582
677	76931	263472
678	77030	263309
679	77122	263123
680	77226	262977
681	77332	262838
682	77446	262729
683	77596	262740
684	77696	262578
685	77804	262447
686	77909	262306
687	78019	262181
688	78127	262051
689	78240	261936
690	78342	261782
691	78452	261657
692	78575	261577
693	78681	261439
694	78783	261290
695	78896	261175
696	79014	261075
697	79149	261032
698	79267	260936
699	79375	260806
700	79500	260728
701	79622	260644
702	79735	260531
703	79857	260445
704	79957	260288
705	80067	260161
706	80180	260047
707	80285	259908
708	80396	259786
709	80505	259658
710	80628	259574
711	80724	259407
712	80817	259229
713	80932	259120
714	81033	258966
715	81149	258861
716	81242	258682
717	81345	258536
718	81439	258363
719	81556	258262
720	81676	258170
721	81789	258054
722	81886	257892
723	81997	257770
724	82139	257748
725	82251	257629
726	82400	257629
727	82518	257529
728	82623	257392
729	82737	257280
730	82848	257158
731	82963	257051
732	83067	256908
733	83181	256798
734	83396	256998
735	83504	256866
736	83621	256765
737	83749	256694
738	83852	256549
739	83973	256458
740	84075	256312
741	84191	256206
742	84304	256089
743	84412	255959
744	84502	255775
745	84646	255754
746	84786	255720
747	84888	255573
748	85003	255464
749	85090	255272
750	85200	255147
751	85302	255001
752	85416	254888
753	85544	254818
754	85653	254690
755	85768	254582
756	85874	254445
757	85991	254343
758	86101	254222
759	86202	254071
760	86326	253989
761	86479	253991
762	86589	253867
763	86701	253748
764	86801	253596
765	86904	253452
766	87017	253337
767	87131	253225
768	87251	253130
769	87369	253031
770	87461	252856
771	87567	252721
772	87667	252569
773	87770	252423
774	87865	252259
775	87969	252119
776	88065	251955
777	88161	251792
778	88264	251648
779	88364	251497
780	88459	251333
781	88573	251223
782	88678	251086
783	88788	250963
784	88877	250781
785	88977	250631
786	89070	250461
787	89168	250304
788	89275	250175
789	89397	250087
790	89505	249958
791	89614	249835
792	89750	249785
793	89862	249669
794	89973	249548
795	90064	249374
796	90186	249286
797	90301	249178
798	90406	249041
799	90523	248940
800	90640	248837
801	90774	248779
802	90869	248617
803	90988	248521
804	91101	248407
805	91213	248290
806	91322	248165
807	91428	248033
808	91531	247893
809	91644	247778
810	91746	247636
811	91854	247510
812	91964	247388
813	92089	247307
814	92190	247159
815	92296	247029
816	92412	246923
817	92519	246795
818	92623	246656
819	92738	246548
820	92833	246387
821	92940	246258
822	93046	246125
823	93151	245992
824	93256	245859
825	93357	245712
826	93473	245609
827	93603	245539
828	93720	245437
829	93828	245310
830	93934	245178
831	94035	245034
832	94155	244938
833	94268	244825
834	94380	244710
835	94503	244624
836	94598	244465
837	94725	244388
838	94832	244259
839	94956	244174
840	95054	244021
841	95157	243884
842	95247	243710
843	95350	243573
844	95472	243483
845	95588	243378
846	95698	243257
847	95819	243165
848	95961	243123
849	96071	243005
850	96183	242888
851	96298	242780
852	96406	242655
853	96511	242522
854	96622	242404
855	96736	242293
856	96841	242160
857	96955	242050
858	97073	241949
859	97183	241829
860	97287	241692
861	97435	241666
862	97586	241648
863	97699	241535
864	97811	241419
865	97925	241309
866	98036	241191
867	98156	241093
868	98262	240964
869	98365	240824
870	98475	240705
871	98586	240587
872	98710	240501
873	98804	240341
874	98913	240218
875	99027	240107
876	99152	240024
877	99252	239879
878	99364	239764
879	99462	239614
880	99567	239480
881	99683	239375
882	99792	239254
883	99910	239151
884	100034	239065
885	100160	238983
886	100277	238879
887	100376	238732
888	100485	238610
889	100602	238506
890	100701	238361
891	100796	238205
892	100909	238091
893	101019	237972
894	101143	237884
895	101256	237771
896	101352	237618
897	101473	237524
